adc_id,adc_name,drug_status,antibody_name,antigen_id,antigen_name,payload_id,payload_name,payload_identity,payload_target,payload_mechanism,linker_name,activity_id,standard_type,is_potency_endpoint,relation,value_raw,value_numeric,units,is_molar_unit,cell_line,disease_model,source_url,source_html
DRG0BBRJG,Mirvetuximab-SPDB-DM4,Investigative,Mirvetuximab,TAR0QHAVI,Folate receptor alpha (FOLR1),PAY0GTSVM,Mertansine DM4,PAY0GTSVM,Microtubule (MT),microtubule-disrupting,N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB),ADCC000132,Half Maximal Inhibitory Concentration (IC50),1,=,0.07±0.02,0.07,nM,1,IGROV-1 cells,Ovarian endometrioid adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BBRJG,data/raw/adcdb_idrblab/adc_details/DRG0BBRJG.html
DRG0BBRJG,Mirvetuximab-SPDB-DM4,Investigative,Mirvetuximab,TAR0QHAVI,Folate receptor alpha (FOLR1),PAY0GTSVM,Mertansine DM4,PAY0GTSVM,Microtubule (MT),microtubule-disrupting,N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB),ADCC000131,Half Maximal Inhibitory Concentration (IC50),1,=,0.08±0.01,0.08,nM,1,KB cells,Human papillomavirus-related endocervical adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BBRJG,data/raw/adcdb_idrblab/adc_details/DRG0BBRJG.html
DRG0BBRJG,Mirvetuximab-SPDB-DM4,Investigative,Mirvetuximab,TAR0QHAVI,Folate receptor alpha (FOLR1),PAY0GTSVM,Mertansine DM4,PAY0GTSVM,Microtubule (MT),microtubule-disrupting,N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB),ADCC000133,Half Maximal Inhibitory Concentration (IC50),1,=,0.11±0.08,0.11,nM,1,JEG-3 cells,Gestational choriocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BBRJG,data/raw/adcdb_idrblab/adc_details/DRG0BBRJG.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008207,Max inhibition rate (MIR),0,=,60,60.0,%,0,CVCL_7040,Gastrointestinal stromal tumor,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008206,Max inhibition rate (MIR),0,=,75,75.0,%,0,CVCL_4976,Gastrointestinal stromal tumor,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008209,Max inhibition rate (MIR),0,=,86,86.0,%,0,CVCL_1598,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008211,Max inhibition rate (MIR),0,=,87,87.0,%,0,CVCL_1507,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008198,Max inhibition rate (MIR),0,=,91,91.0,%,0,CVCL_0217,Acute megakaryoblastic leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008201,Max inhibition rate (MIR),0,=,92,92.0,%,0,CVCL_0614,Acute myeloid leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008199,Max inhibition rate (MIR),0,=,95,95.0,%,0,CVCL_2481,Erythroleukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
