payload_mechanism,PAY0AKDAM,PAY0BBRSF,PAY0BKPAH,PAY0CJNCU,PAY0CLRJD,PAY0DYTCC,PAY0FSXOW,PAY0GTSVM,PAY0HXYLH,PAY0IJSCK,PAY0IXEJQ,PAY0JAEKD,PAY0JCIBW,PAY0LZRXU,PAY0MQMQP,PAY0NNLXO,PAY0QKJME,PAY0RZSDY,PAY0SOSMQ,PAY0UXDSB,PAY0VZNCV,PAY0VZVPQ,PAY0WSZPJ,PAY0XBVCC,PAY0ZVBAI
DNA-damaging,38,0,0,0,0,3,0,0,0,51,0,0,0,2,0,0,3,47,9,0,0,0,0,13,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,11,0,0,0,0
Topo-I inhibitor,0,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,49
microtubule-disrupting,0,0,0,0,20,0,164,27,4,0,1,38,97,0,0,0,0,0,0,0,0,14,0,0,0
