path,rows,columns,headers,label_columns,label_counts,sha256
data/raw/adcnet_github/data.xlsx,435,15,index; ADC ID; ADC Name; Antibody Name; Antibody Heavy Chain Sequence; Antibody Light Chain Sequence; Antigen Sequence; Payload Isosmiles; Linker Isosmiles; DAR; label（10nm）; label（100nm）; label（1nm）; label（1000nm）; DAR_val,label（10nm）; label（100nm）; label（1nm）; label（1000nm）,"label（10nm）:0=164,1=271; label（100nm）:0=154,1=281; label（1nm）:0=171,1=264; label（1000nm）:0=151,1=284",c7f1cdaf8ffd7cab528316ce5a3f95299b0036940f2ca5322155d02fa1721186
data/raw/adcnet_github/files_data.xlsx,435,15,index; ADC ID; ADC Name; Antibody Name; Antibody Heavy Chain Sequence; Antibody Light Chain Sequence; Antigen Sequence; Payload Isosmiles; Linker Isosmiles; DAR; label（10nm）; label（100nm）; label（1nm）; label（1000nm）; DAR_val,label（10nm）; label（100nm）; label（1nm）; label（1000nm）,"label（10nm）:0=164,1=271; label（100nm）:0=154,1=281; label（1nm）:0=171,1=264; label（1000nm）:0=151,1=284",c7f1cdaf8ffd7cab528316ce5a3f95299b0036940f2ca5322155d02fa1721186
data/raw/adcnet_github/t_data.xlsx,50,15,; ADC ID; ADC Name; Antibody Name（154个）; Drug Status; Antibody Heavy Chain Sequence; Antibody Light Chain Sequence; Antigen Sequence（64）; Payload Isosmiles（71个）; Linker Isosmiles（82个）; DAR; index; label（100nm）; label（1000nm）; DAR_val,label（100nm）; label（1000nm）,"label（100nm）:0=16,1=34; label（1000nm）:0=15,1=35",4fbec3ea2f3cedbf992cfc6a60a95c1c885435c887522d4846dbbc53ec1b5b8f
