split,model,features,aggregation,n,positives,prevalence,average_precision,roc_auc,balanced_accuracy,mcc,log_loss,brier,tp,tn,fp,fn,repeat
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8181,0.6446,0.5776,0.1519,0.6761,0.2293,310,78,103,118,30
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8247,0.6659,0.6125,0.2242,0.6475,0.2200,328,83,98,100,31
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8351,0.6927,0.6309,0.2607,0.6011,0.2053,332,88,93,96,32
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8284,0.6691,0.6243,0.2477,0.6459,0.2175,331,86,95,97,33
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8491,0.7048,0.6777,0.3554,0.6140,0.2086,346,99,82,82,34
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8556,0.7175,0.6163,0.2165,0.6022,0.2058,284,103,78,144,35
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8478,0.7080,0.6406,0.2717,0.5728,0.1948,319,97,84,109,36
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.7779,0.6183,0.5659,0.1274,0.6844,0.2318,300,78,103,128,37
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8030,0.6582,0.6097,0.2354,0.6329,0.2132,354,71,110,74,38
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8244,0.6732,0.6440,0.2829,0.6231,0.2132,329,94,87,99,39
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8226,0.6651,0.6532,0.2973,0.6394,0.2174,325,99,82,103,40
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8317,0.6723,0.6152,0.2294,0.6598,0.2274,328,84,97,100,41
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.7989,0.6514,0.6188,0.2499,0.6522,0.2182,350,76,105,78,42
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8165,0.6479,0.6279,0.2523,0.6555,0.2226,327,89,92,101,43
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8497,0.7049,0.6282,0.2556,0.5903,0.1990,332,87,94,96,44
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8181,0.6587,0.5783,0.1491,0.6471,0.2240,294,85,96,134,45
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.7993,0.6579,0.6170,0.2389,0.6349,0.2118,339,80,101,89,46
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8139,0.6426,0.6102,0.2160,0.6682,0.2299,319,86,95,109,47
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8339,0.6769,0.5942,0.1829,0.6244,0.2141,310,84,97,118,48
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8477,0.7024,0.6620,0.3239,0.5811,0.1954,342,95,86,86,49
