path,relative_path,top_level,suffix,bytes,sha256,note
data/raw/adcdb_idrblab/adc_details/DRG0BDZMF.html,adcdb_idrblab/adc_details/DRG0BDZMF.html,adcdb_idrblab,.html,31266,140b726205d0ddb107f6ee146f18897f0cf76b9de9ad0f0c2cd828f3722f66a8,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BFNMH.html,adcdb_idrblab/adc_details/DRG0BFNMH.html,adcdb_idrblab,.html,73989,da8596b0c70513e91ff3ef8e8258f1f01d28064658a2912e7afba10f986791b9,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html,adcdb_idrblab/adc_details/DRG0BIVOI.html,adcdb_idrblab,.html,144236,67b7a67e670d2d568eab4e9475f4a03e90600f49551e0e7c52fab8c9f24e2ab0,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BOEGK.html,adcdb_idrblab/adc_details/DRG0BOEGK.html,adcdb_idrblab,.html,31312,55ca3d7e8b2317c72197d57097758ba3c4c94fb4e891c156f9ff87db4c11ba4e,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BQBRZ.html,adcdb_idrblab/adc_details/DRG0BQBRZ.html,adcdb_idrblab,.html,37541,51cf62a7484a3f0e48459e681d78e73243ab041be96a74ddde0f47f17f3d84cf,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BREQP.html,adcdb_idrblab/adc_details/DRG0BREQP.html,adcdb_idrblab,.html,31230,9a672e4ccb99c85d5b1335931bc63423029af0f819664e5b2901030afd8beb03,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BRWYZ.html,adcdb_idrblab/adc_details/DRG0BRWYZ.html,adcdb_idrblab,.html,38481,bd78a01901ef90280a9aa5e388dac04cd5234d51fd042c2d88023c04cbdc834c,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BRYIM.html,adcdb_idrblab/adc_details/DRG0BRYIM.html,adcdb_idrblab,.html,31268,cdf89d137d7bae4fb57382acb3d667f64b3f6261257cc9fb2fb3e80b656c807d,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BSQPI.html,adcdb_idrblab/adc_details/DRG0BSQPI.html,adcdb_idrblab,.html,339288,a88cd1557f1d7479d1c821e7ce8ad41f083e4af0f120e304c27af9b13efa7465,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BTGYC.html,adcdb_idrblab/adc_details/DRG0BTGYC.html,adcdb_idrblab,.html,41721,f595cf9b0b83c89a560fed6e86ce10d6a17b93174aafc10e9a38b0888cfd1e0b,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BUAWG.html,adcdb_idrblab/adc_details/DRG0BUAWG.html,adcdb_idrblab,.html,57904,1b0ef1547d5a712a20a3f4163f0b475550bb3ea0c6c0aa398f96822c001b9a7b,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BVXGD.html,adcdb_idrblab/adc_details/DRG0BVXGD.html,adcdb_idrblab,.html,37993,4c8a6a25b9114cb4d972a4b1551dcfd4783308e16ce495d7e83c87c9d6b92888,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BWNUI.html,adcdb_idrblab/adc_details/DRG0BWNUI.html,adcdb_idrblab,.html,68207,d8063e9a294193d16cc88f9d14a688e606f8b4ba07af8e040b44e58381514ea6,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BXRDQ.html,adcdb_idrblab/adc_details/DRG0BXRDQ.html,adcdb_idrblab,.html,67418,ac21232e1001121e7e0aff82768336d164238f43a415cd1f99eb77faf6979633,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0BZNZA.html,adcdb_idrblab/adc_details/DRG0BZNZA.html,adcdb_idrblab,.html,45763,159b54651057af18be68e375034c61a457523f76767d1bc5bfa3d9e447ef0bc9,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CCFSC.html,adcdb_idrblab/adc_details/DRG0CCFSC.html,adcdb_idrblab,.html,32515,cd48f9ddb866fcd483e278c8b96db4f3a31581f33a84768a775367aee3f10cec,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CDKOV.html,adcdb_idrblab/adc_details/DRG0CDKOV.html,adcdb_idrblab,.html,31268,f00d32df7cb47752c73cc41f1856b1c6ecffdb1500911300e061eeeef2255832,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CECRA.html,adcdb_idrblab/adc_details/DRG0CECRA.html,adcdb_idrblab,.html,459250,84fcecabbc7134a93aec864c11380d737ca3262e836a4a4dd7f02d73a936b766,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CGKQT.html,adcdb_idrblab/adc_details/DRG0CGKQT.html,adcdb_idrblab,.html,37541,123e7d54b41fdf32a779654f83de8ddeab929ba3341bafba528d4e5c8bbe6550,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CIWNZ.html,adcdb_idrblab/adc_details/DRG0CIWNZ.html,adcdb_idrblab,.html,57992,1ff621f75c33c1407b8b3e8d8f3d2ff04b077a01bb9f7dd521355f370a6e3c85,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CLBRQ.html,adcdb_idrblab/adc_details/DRG0CLBRQ.html,adcdb_idrblab,.html,31569,192ec4a92d2bbaba975ceaddbd114a45ad409e2291086f72f925725ab746da68,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0COMTY.html,adcdb_idrblab/adc_details/DRG0COMTY.html,adcdb_idrblab,.html,173947,bb2d0454dab6e5cefc8117d30384c4763f09d0dcd96630633b58a23540bc1ef1,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0COYJA.html,adcdb_idrblab/adc_details/DRG0COYJA.html,adcdb_idrblab,.html,32533,59bb7b6830491cf22f4b5fd32f691aae51762a966b59f5be7bc86169f6a9bb64,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CPRDL.html,adcdb_idrblab/adc_details/DRG0CPRDL.html,adcdb_idrblab,.html,31268,2acb1bbb4071151ec555027d7de1d3e618b9b9de3b575f3e4e7a7b2a774d9708,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
