mechanism_a,mechanism_b,crossed_contexts,input_observations_in_pair_contexts,payload_context_units_in_pair_contexts,contexts_with_unit_response_difference,a_higher_contexts,b_higher_contexts,equal_contexts,mean_context_unit_response_diff_a_minus_b,median_context_unit_response_diff_a_minus_b,payload_unit_weighted_diff_a_minus_b,observation_weighted_diff_a_minus_b,contexts_with_both_arms_2plus_payloads,contexts_with_either_arm_2plus_payloads,unique_payloads_a_across_contexts,unique_payloads_b_across_contexts,payloads_a_across_contexts,payloads_b_across_contexts,top_payload_pairing_signature,top_payload_pairing_contexts
DNA-damaging,microtubule-disrupting,16,76,38,2,1,1,14,0.0030,0.0000,-0.0476,-0.0906,0,4,5,3,PAY0AKDAM;PAY0LZRXU;PAY0QKJME;PAY0SOSMQ;PAY0XBVCC,PAY0FSXOW;PAY0JCIBW;PAY0VZVPQ,PAY0SOSMQ|PAY0FSXOW,7
DNA-damaging,Topo-I inhibitor,7,23,14,4,4,0,3,0.3571,0.5000,0.3571,0.4130,0,0,2,1,PAY0QKJME;PAY0RZSDY,PAY0ZVBAI,PAY0RZSDY|PAY0ZVBAI,5
Topo-I inhibitor,microtubule-disrupting,5,30,14,1,0,1,4,-0.2000,0.0000,-0.2143,-0.2667,0,3,3,4,PAY0UXDSB;PAY0WSZPJ;PAY0ZVBAI,PAY0FSXOW;PAY0GTSVM;PAY0JCIBW;PAY0VZVPQ,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0VZVPQ,1
