adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0CZZTF,ADCC002253,Half Maximal Effective Concentration (EC50),=,0.1,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0DBEFV,ADCC001955,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0DBEFV,ADCC001956,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0DNFUC,ADCC002250,Half Maximal Effective Concentration (EC50),=,0.07,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0DNFUC,ADCC002251,Half Maximal Effective Concentration (EC50),=,0.41,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0DSCQI,ADCC001873,Half Maximal Effective Concentration (EC50),=,0.12,ug/mL,Other,non_molar_or_missing_value
DRG0DSCQI,ADCC001874,Half Maximal Effective Concentration (EC50),>,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0DWYOX,ADCC001965,Half Maximal Effective Concentration (EC50),=,0.2,ng/mL,Other,non_molar_or_missing_value
DRG0DWYOX,ADCC001966,Half Maximal Effective Concentration (EC50),=,12.1,ug/mL,Other,non_molar_or_missing_value
DRG0DYMWP,ADCC001877,Half Maximal Effective Concentration (EC50),=,1.08,ug/mL,Other,non_molar_or_missing_value
DRG0DYMWP,ADCC001878,Half Maximal Effective Concentration (EC50),>,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0ERKBH,ADCC003001,Half Maximal Inhibitory Concentration (IC50),=,0.7,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002983,Half Maximal Inhibitory Concentration (IC50),=,4.8,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC003002,Half Maximal Inhibitory Concentration (IC50),=,5.1,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002995,Half Maximal Inhibitory Concentration (IC50),=,5.3,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002990,Half Maximal Inhibitory Concentration (IC50),=,6.1,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC000155,Half Maximal Inhibitory Concentration (IC50),=,6.7,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC003000,Half Maximal Inhibitory Concentration (IC50),=,7.6,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002989,Half Maximal Inhibitory Concentration (IC50),=,7.6,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002998,Half Maximal Inhibitory Concentration (IC50),=,8.1,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002996,Half Maximal Inhibitory Concentration (IC50),=,9.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002984,Half Maximal Inhibitory Concentration (IC50),=,11.5,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002999,Half Maximal Inhibitory Concentration (IC50),=,15.1,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002986,Half Maximal Inhibitory Concentration (IC50),=,15.7,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002992,Half Maximal Inhibitory Concentration (IC50),=,24.9,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC000154,Half Maximal Inhibitory Concentration (IC50),=,25.4,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC000153,Half Maximal Inhibitory Concentration (IC50),=,26.8,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002980,Half Maximal Inhibitory Concentration (IC50),=,32.7,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002987,Half Maximal Inhibitory Concentration (IC50),=,34.8,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002981,Half Maximal Inhibitory Concentration (IC50),=,41.7,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002993,Half Maximal Inhibitory Concentration (IC50),=,41.8,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC003003,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002997,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002994,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002991,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002988,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002985,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC002982,Half Maximal Inhibitory Concentration (IC50),>,3000.0,ng/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC003336,Half Maximal Inhibitory Concentration (IC50),=,3.0,ug/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC000156,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0ERKBH,ADCC003335,Half Maximal Inhibitory Concentration (IC50),=,97.0,ug/mL,Topo-I inhibitor,non_molar_or_missing_value
DRG0EVIRB,ADCC002530,Half Maximal Inhibitory Concentration (IC50),=,18.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0EVIRB,ADCC002531,Half Maximal Inhibitory Concentration (IC50),>,110.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0EWRAI,ADCC008235,Max inhibition rate (MIR),=,65.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008234,Max inhibition rate (MIR),=,75.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008237,Max inhibition rate (MIR),=,84.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008239,Max inhibition rate (MIR),=,88.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008226,Max inhibition rate (MIR),=,92.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008229,Max inhibition rate (MIR),=,94.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008227,Max inhibition rate (MIR),=,94.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008236,Max inhibition rate (MIR),=,98.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008232,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008230,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008238,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008233,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008231,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0EWRAI,ADCC008228,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0FBKIO,ADCC001901,Half Maximal Effective Concentration (EC50),=,0.08,ug/mL,Other,non_molar_or_missing_value
DRG0FBKIO,ADCC001902,Half Maximal Effective Concentration (EC50),=,5.8,ug/mL,Other,non_molar_or_missing_value
DRG0FQFDY,ADCC001422,Half Maximal Inhibitory Concentration (IC50),=,1.48,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0FQFDY,ADCC001423,Half Maximal Inhibitory Concentration (IC50),=,2130.0,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0FQLWO,ADCC001893,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0FQLWO,ADCC001894,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
DRG0FSHWJ,ADCC001997,Half Maximal Inhibitory Concentration (IC50),<,25.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0FSHWJ,ADCC001996,Half Maximal Inhibitory Concentration (IC50),<,25.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0FSHWJ,ADCC001995,Half Maximal Inhibitory Concentration (IC50),<,25.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0FSHWJ,ADCC001994,Half Maximal Inhibitory Concentration (IC50),<,25.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0FSHWJ,ADCC001993,Half Maximal Inhibitory Concentration (IC50),<,25.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0FUFBP,ADCC000595,Half Maximum Growth Inhibitory Concentration (GI50),>,6667.0,pM,DNA-damaging,ambiguous_censored_value
DRG0FUFBP,ADCC000593,Half Maximum Growth Inhibitory Concentration (GI50),>,6667.0,pM,DNA-damaging,ambiguous_censored_value
DRG0FUFBP,ADCC000592,Half Maximum Growth Inhibitory Concentration (GI50),>,6667.0,pM,DNA-damaging,ambiguous_censored_value
DRG0FUFBP,ADCC000591,Half Maximum Growth Inhibitory Concentration (GI50),>,6667.0,pM,DNA-damaging,ambiguous_censored_value
DRG0FUFBP,ADCC000589,Half Maximum Growth Inhibitory Concentration (GI50),=,7.49,pM ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0GCLJQ,ADCC001432,Half Maximal Inhibitory Concentration (IC50),=,16.1,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0GCLJQ,ADCC001428,Half Maximal Inhibitory Concentration (IC50),=,24.1,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0GCLJQ,ADCC001429,Half Maximal Inhibitory Concentration (IC50),=,33.9,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0GCLJQ,ADCC001431,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0GCLJQ,ADCC001430,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0GFDUW,ADCC001867,Half Maximal Effective Concentration (EC50),=,0.45,ug/mL,Other,non_molar_or_missing_value
DRG0GFDUW,ADCC001868,Half Maximal Effective Concentration (EC50),=,3.4,ug/mL,Other,non_molar_or_missing_value
DRG0GKOZH,ADCC006181,Half Maximal Inhibitory Concentration (IC50),=,0.2,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0GKOZH,ADCC006180,Half Maximal Inhibitory Concentration (IC50),=,74.6,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0HCGBQ,ADCC002532,Half Maximal Inhibitory Concentration (IC50),=,1.8,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0HCGBQ,ADCC002533,Half Maximal Inhibitory Concentration (IC50),=,4.8,ng/mL,DNA-damaging,non_molar_or_missing_value
